usgs_site,date,timeseries,var_desc,unit,stat,value,lat,lon
14178000,1/1/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,5.6,44.70694444,-122.1
14178000,1/1/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,5.1,44.70694444,-122.1
14178000,1/1/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,5.3,44.70694444,-122.1
14178000,1/2/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,5.1,44.70694444,-122.1
14178000,1/2/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,4.8,44.70694444,-122.1
14178000,1/2/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,5,44.70694444,-122.1
14178000,1/3/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.9,44.70694444,-122.1
14178000,1/3/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,4.2,44.70694444,-122.1
14178000,1/3/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,4.6,44.70694444,-122.1
14178000,1/4/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.7,44.70694444,-122.1
14178000,1/4/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.9,44.70694444,-122.1
14178000,1/4/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,4.3,44.70694444,-122.1
14178000,1/5/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.2,44.70694444,-122.1
14178000,1/5/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.6,44.70694444,-122.1
14178000,1/5/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.9,44.70694444,-122.1
14178000,1/6/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.2,44.70694444,-122.1
14178000,1/6/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.5,44.70694444,-122.1
14178000,1/6/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.8,44.70694444,-122.1
14178000,1/7/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.9,44.70694444,-122.1
14178000,1/7/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,4.2,44.70694444,-122.1
14178000,1/7/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,4.6,44.70694444,-122.1
14178000,1/8/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.8,44.70694444,-122.1
14178000,1/8/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.5,44.70694444,-122.1
14178000,1/8/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,4.3,44.70694444,-122.1
14178000,1/9/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.1,44.70694444,-122.1
14178000,1/9/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.5,44.70694444,-122.1
14178000,1/9/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.8,44.70694444,-122.1
14178000,1/10/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.1,44.70694444,-122.1
14178000,1/10/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.2,44.70694444,-122.1
14178000,1/10/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.8,44.70694444,-122.1
14178000,1/11/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3.7,44.70694444,-122.1
14178000,1/11/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3,44.70694444,-122.1
14178000,1/11/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.3,44.70694444,-122.1
14178000,1/12/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3.5,44.70694444,-122.1
14178000,1/12/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,2.6,44.70694444,-122.1
14178000,1/12/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.1,44.70694444,-122.1
14178000,1/13/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3,44.70694444,-122.1
14178000,1/13/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,2.6,44.70694444,-122.1
14178000,1/13/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,2.9,44.70694444,-122.1
14178000,1/14/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3,44.70694444,-122.1
14178000,1/14/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,2.4,44.70694444,-122.1
14178000,1/14/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,2.6,44.70694444,-122.1
14178000,1/15/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3,44.70694444,-122.1
14178000,1/15/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,2.1,44.70694444,-122.1
14178000,1/15/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,2.5,44.70694444,-122.1
14178000,1/16/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3.3,44.70694444,-122.1
14178000,1/16/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3,44.70694444,-122.1
14178000,1/16/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.1,44.70694444,-122.1
14178000,1/17/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3.2,44.70694444,-122.1
14178000,1/17/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,2.6,44.70694444,-122.1
14178000,1/17/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,2.9,44.70694444,-122.1
14178000,1/18/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3.6,44.70694444,-122.1
14178000,1/18/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.2,44.70694444,-122.1
14178000,1/18/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.3,44.70694444,-122.1
14178000,1/19/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,3.7,44.70694444,-122.1
14178000,1/19/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.3,44.70694444,-122.1
14178000,1/19/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.5,44.70694444,-122.1
14178000,1/20/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.1,44.70694444,-122.1
14178000,1/20/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.4,44.70694444,-122.1
14178000,1/20/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,3.8,44.70694444,-122.1
14178000,1/21/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.3,44.70694444,-122.1
14178000,1/21/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.8,44.70694444,-122.1
14178000,1/21/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,4,44.70694444,-122.1
14178000,1/22/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.2,44.70694444,-122.1
14178000,1/22/2020,1,"Temperature, water, degrees Celsius",deg_C,Minimum,3.8,44.70694444,-122.1
14178000,1/22/2020,2,"Temperature, water, degrees Celsius",deg_C,Mean,4.1,44.70694444,-122.1
14178000,1/23/2020,0,"Temperature, water, degrees Celsius",deg_C,Maximum,4.5,44.70694444,-122.1
