t,14181500
1/1/2020,0.95-0.59-0.33
1/2/2020,0.62-0.37-0.08
1/3/2020,0.75-0.35-0.05
1/4/2020,0.93-0.62-0.33
1/5/2020,0.77-0.43-0.13
1/6/2020,0.6-0.39-0.2
1/7/2020,0.61-0.4-0.11
1/8/2020,0.72-0.47-0.22
1/9/2020,0.72-0.39-0.08
1/10/2020,0.49-0.23--0.02
1/11/2020,0.46-0.21--0.03
1/12/2020,0.51-0.25-0.03
1/13/2020,0.51-0.23--0.03
1/14/2020,0.42-0.2-0.04
1/15/2020,0.42-0.19-0.03
1/16/2020,0.5-0.24--0.01
1/17/2020,0.48-0.23--0.04
1/18/2020,0.49-0.22-0.04
1/19/2020,0.43-0.2-0.02
1/20/2020,0.49-0.24--0.02
1/21/2020,0.55-0.25--0.03
1/22/2020,0.62-0.3-0.05
1/23/2020,0.62-0.26-0.08
1/24/2020,0.46-0.27--0.01
1/25/2020,0.68-0.35-0.11
1/26/2020,0.86-0.5-0.05
1/27/2020,0.73-0.33-0.01
1/28/2020,0.78-0.44-0.11
1/29/2020,0.58-0.41-0.22
1/30/2020,0.63-0.39-0.18
1/31/2020,0.71-0.43-0.21
2/1/2020,0.52-0.3-0.06
2/2/2020,0.41-0.17-0.01
2/3/2020,0.47-0.19-0.02
2/4/2020,0.4-0.22-0.06
2/5/2020,0.61-0.34-0.15
2/6/2020,0.6-0.4-0.12
2/7/2020,0.74-0.38-0.13
2/8/2020,0.4-0.21--0.02
2/9/2020,0.36-0.18-0.01
2/10/2020,0.45-0.22-0.02
2/11/2020,0.48-0.33-0.15
2/12/2020,0.53-0.33-0.19
2/13/2020,0.65-0.34-0.07
2/14/2020,0.73-0.42-0.13
2/15/2020,0.61-0.32-0.01
2/16/2020,0.53-0.22-0.02
2/17/2020,0.54-0.3-0.12
2/18/2020,0.46-0.27-0.12
2/19/2020,0.44-0.28-0.07
2/20/2020,0.6-0.36-0.1
2/21/2020,0.69-0.42-0.19
2/22/2020,0.69-0.44-0.12
2/23/2020,0.76-0.5-0.28
2/24/2020,0.75-0.51-0.17
2/25/2020,0.78-0.41-0.19
2/26/2020,0.56-0.35-0.13
2/27/2020,0.76-0.41-0.21
2/28/2020,0.8-0.5-0.19
2/29/2020,0.95-0.6-0.3
3/1/2020,0.9-0.58-0.21
3/2/2020,0.64-0.39-0.14
3/3/2020,0.51-0.34-0.18
3/4/2020,0.61-0.35-0.19
3/5/2020,0.68-0.38-0.2
3/6/2020,0.81-0.45-0.15
3/7/2020,1.05-0.65-0.31
3/8/2020,0.93-0.53-0.1
3/9/2020,0.58-0.4-0.18
3/10/2020,0.76-0.46-0.14
3/11/2020,1.79-0.95-0.49
3/12/2020,2.46-1.58-0.99
3/13/2020,1.96-1.4-0.76
3/14/2020,1.76-1.14-0.6
3/15/2020,1.25-0.82-0.34
3/16/2020,3.52-1.85-1.07
3/17/2020,4.47-3-1.92
3/18/2020,4.22-2.95-1.63
3/19/2020,3.6-2.66-1.52
3/20/2020,3.97-2.56-1.69
3/21/2020,3.29-2.4-1.4
3/22/2020,2.95-2.04-1.2
3/23/2020,3.67-2.42-1.67
3/24/2020,4.47-2.39-1.14
3/25/2020,2.17-1.37-0.57
3/26/2020,2.02-1.42-0.69
3/27/2020,2.97-1.92-1.08
3/28/2020,4.11-2.63-1.47
3/29/2020,4.08-3.23-1.56
3/30/2020,4.06-2.89-2.22
3/31/2020,2.64-1.92-0.98
4/1/2020,2.28-1.44-0.77
4/2/2020,1.65-1.14-0.61
4/3/2020,2.02-1.27-0.61
4/4/2020,2.4-1.68-0.75
4/5/2020,2.67-1.66-0.81
4/6/2020,2.97-2.02-1.27
4/7/2020,2.97-1.66-0.85
4/8/2020,1.43-0.97-0.56
4/9/2020,1.14-0.78-0.42
4/10/2020,1.16-0.8-0.49
4/11/2020,1.15-0.8-0.45
4/12/2020,1.22-0.8-0.5
4/13/2020,1.22-0.78-0.44
4/14/2020,1.21-0.87-0.5
4/15/2020,1.14-0.79-0.45
4/16/2020,1.09-0.68-0.4
4/17/2020,1.02-0.71-0.43
4/18/2020,1.19-0.88-0.59
4/19/2020,1.11-0.77-0.44
4/20/2020,1.15-0.82-0.51
