lat_lon,lat_lon_X,lat_lon_Y,tmean,tdmean,ppt
44.67452163642578_-122.19652554161657,-122.1965255,44.67452164,4.528000355,4.199999809,26.0510006
44.67452163642578_-122.19625604703133,-122.196256,44.67452164,4.528000355,4.199999809,26.0510006
44.67452163642578_-122.19598655244609,-122.1959866,44.67452164,4.528000355,4.199999809,26.0510006
44.67452163642578_-122.19571705786085,-122.1957171,44.67452164,4.528000355,4.199999809,26.0510006
44.67479113101102_-122.19652554161657,-122.1965255,44.67479113,4.528000355,4.199999809,26.0510006
44.67479113101102_-122.19625604703133,-122.196256,44.67479113,4.528000355,4.199999809,26.0510006
44.67479113101102_-122.19598655244609,-122.1959866,44.67479113,4.528000355,4.199999809,26.0510006
44.67479113101102_-122.19571705786085,-122.1957171,44.67479113,4.528000355,4.199999809,26.0510006
44.67506062559625_-122.19679503620178,-122.196795,44.67506063,4.528000355,4.199999809,26.0510006
44.67506062559625_-122.19652554161657,-122.1965255,44.67506063,4.528000355,4.199999809,26.0510006
44.67506062559625_-122.19625604703133,-122.196256,44.67506063,4.528000355,4.199999809,26.0510006
44.67506062559625_-122.19598655244609,-122.1959866,44.67506063,4.528000355,4.199999809,26.0510006
44.67506062559625_-122.19571705786085,-122.1957171,44.67506063,4.528000355,4.199999809,26.0510006
44.67533012018149_-122.19679503620178,-122.196795,44.67533012,4.528000355,4.199999809,26.0510006
44.67533012018149_-122.19652554161657,-122.1965255,44.67533012,4.528000355,4.199999809,26.0510006
44.67533012018149_-122.19625604703133,-122.196256,44.67533012,4.528000355,4.199999809,26.0510006
44.67533012018149_-122.19598655244609,-122.1959866,44.67533012,4.528000355,4.199999809,26.0510006
44.67533012018149_-122.19571705786085,-122.1957171,44.67533012,4.528000355,4.199999809,26.0510006
44.675599614766725_-122.19706453078702,-122.1970645,44.67559961,4.528000355,4.199999809,26.0510006
44.675599614766725_-122.19679503620178,-122.196795,44.67559961,4.528000355,4.199999809,26.0510006
44.675599614766725_-122.19652554161657,-122.1965255,44.67559961,4.528000355,4.199999809,26.0510006
44.675599614766725_-122.19625604703133,-122.196256,44.67559961,4.528000355,4.199999809,26.0510006
44.675599614766725_-122.19598655244609,-122.1959866,44.67559961,4.528000355,4.199999809,26.0510006
44.675599614766725_-122.19571705786085,-122.1957171,44.67559961,4.528000355,4.199999809,26.0510006
44.67586910935196_-122.19706453078702,-122.1970645,44.67586911,4.528000355,4.199999809,26.0510006
44.67586910935196_-122.19679503620178,-122.196795,44.67586911,4.528000355,4.199999809,26.0510006
44.67586910935196_-122.19652554161657,-122.1965255,44.67586911,4.528000355,4.199999809,26.0510006
44.67586910935196_-122.19625604703133,-122.196256,44.67586911,4.528000355,4.199999809,26.0510006
44.67586910935196_-122.19598655244609,-122.1959866,44.67586911,4.528000355,4.199999809,26.0510006
44.6761386039372_-122.19706453078702,-122.1970645,44.6761386,4.528000355,4.199999809,26.0510006
44.6761386039372_-122.19679503620178,-122.196795,44.6761386,4.528000355,4.199999809,26.0510006
