g,b,r,lat_lon,longitude,latitude
604,491,505,44.7017405895346_-122.18871019864471,-122.18871019864471,44.7017405895346
756,639,902,44.712520372944034_-122.19194413366752,-122.19194413366752,44.712520372944034
620,477,503,44.7009321057789_-122.1946390795199,-122.1946390795199,44.7009321057789
690,478,873,44.73138499391055_-122.16176074012112,-122.16176074012112,44.73138499391055
882,628,1067,44.73003752098437_-122.16418619138824,-122.16418619138824,44.73003752098437
709,466,845,44.73381044517767_-122.16472518055872,-122.16472518055872,44.73381044517767
466,439,501,44.7017405895346_-122.18655424196282,-122.18655424196282,44.7017405895346
450,381,470,44.67883354978955_-122.19383059576418,-122.19383059576418,44.67883354978955
634,456,538,44.69904564368225_-122.20649684127028,-122.20649684127028,44.69904564368225
461,474,450,44.698237159926535_-122.24476507237377,-122.24476507237377,44.698237159926535
236,188,271,44.72437813469441_-122.17227102894532,-122.17227102894532,44.72437813469441
277,148,406,44.7257256076206_-122.15017247295596,-122.15017247295596,44.7257256076206
272,127,366,44.72842055347295_-122.16364720221776,-122.16364720221776,44.72842055347295
636,493,870,44.72626459679107_-122.14020117330226,-122.14020117330226,44.72626459679107
837,657,1032,44.71440683504069_-122.19140514449708,-122.19140514449708,44.71440683504069
632,507,515,44.696350697829885_-122.20056796039508,-122.20056796039508,44.696350697829885
684,419,997,44.73003752098437_-122.16876759933726,-122.16876759933726,44.73003752098437
539,497,482,44.69554221407418_-122.22536146223678,-122.22536146223678,44.69554221407418
944,733,1086,44.70524401914267_-122.24018366442476,-122.24018366442476,44.70524401914267
907,603,1139,44.72815105888772_-122.16849810475202,-122.16849810475202,44.72815105888772
721,609,852,44.71844925381922_-122.13130785198948,-122.13130785198948,44.71844925381922
859,700,767,44.702818567875546_-122.2345242781348,-122.2345242781348,44.702818567875546
694,586,848,44.71817975923399_-122.1571793321721,-122.1571793321721,44.71817975923399
512,360,731,44.727612069717246_-122.1728100181158,-122.1728100181158,44.727612069717246
634,480,540,44.698237159926535_-122.20164593873602,-122.20164593873602,44.698237159926535
632,496,851,44.72356965093871_-122.15502337549025,-122.15502337549025,44.72356965093871
338,211,501,44.72437813469441_-122.16526416972918,-122.16526416972918,44.72437813469441
590,479,506,44.70254907329032_-122.19167463908232,-122.19167463908232,44.70254907329032
730,641,644,44.69715918158559_-122.2269784297482,-122.2269784297482,44.69715918158559
1288,1007,1460,44.69662019241512_-122.21512066799782,-122.21512066799782,44.69662019241512
726,614,910,44.71764077006352_-122.15906579426876,-122.15906579426876,44.71764077006352
619,451,733,44.73434943434814_-122.16068276178018,-122.16068276178018,44.73434943434814
815,702,670,44.7009321057789_-122.23506326730528,-122.23506326730528,44.7009321057789
231,172,302,44.72303066176824_-122.17550496396817,-122.17550496396817,44.72303066176824
207,137,246,44.72410864010918_-122.1744269856272,-122.1744269856272,44.72410864010918
635,503,527,44.69581170865941_-122.20568835751456,-122.20568835751456,44.69581170865941
874,567,1238,44.72356965093871_-122.15664034300164,-122.15664034300164,44.72356965093871
685,536,535,44.7084779541655_-122.18332030694,-122.18332030694,44.7084779541655
461,451,413,44.70551351372791_-122.18278131776952,-122.18278131776952,44.70551351372791
652,482,808,44.71683228630781_-122.16499467514394,-122.16499467514394,44.71683228630781
831,654,843,44.70551351372791_-122.19598655244609,-122.19598655244609,44.70551351372791
448,401,475,44.698506654511775_-122.19194413366752,-122.19194413366752,44.698506654511775
1449,1306,1513,44.70524401914267_-122.23344629979384,-122.23344629979384,44.70524401914267
1004,821,1076,44.712520372944034_-122.23937518066904,-122.23937518066904,44.712520372944034
629,506,516,44.7017405895346_-122.19733402537226,-122.19733402537226,44.7017405895346
444,317,640,44.72869004805819_-122.17092355601912,-122.17092355601912,44.72869004805819
674,539,537,44.706591492068846_-122.1849372744514,-122.1849372744514,44.706591492068846
655,566,732,44.68503192524998_-122.19787301454272,-122.19787301454272,44.68503192524998
420,263,556,44.73057651015484_-122.1622997292916,-122.1622997292916,44.73057651015484
435,412,434,44.70524401914267_-122.1811643502581,-122.1811643502581,44.70524401914267
772,558,1050,44.71817975923399_-122.18358980152524,-122.18358980152524,44.71817975923399
638,515,543,44.706860986654085_-122.18978817698564,-122.18978817698564,44.706860986654085
526,373,666,44.72491712386488_-122.17307951270102,-122.17307951270102,44.72491712386488
809,592,1066,44.72195268342729_-122.18143384484334,-122.18143384484334,44.72195268342729
574,487,618,44.71791026464875_-122.13103835740424,-122.13103835740424,44.71791026464875
798,538,965,44.73542741268909_-122.15987427802447,-122.15987427802447,44.73542741268909
417,419,434,44.70578300831314_-122.18143384484334,-122.18143384484334,44.70578300831314
