date,latitude,longitude,lat_lon,blue,green,red,nir
1/3/2020,44.69581171,-122.2420701,44.69581170865941_-122.2420701265214,390,403,411,670
1/3/2020,44.68045052,-122.1919441,44.68045051730097_-122.19194413366752,406,482,529,874
1/3/2020,44.69015232,-122.2100003,44.69015232236946_-122.21000027087834,253,313,346,510
1/3/2020,44.70955593,-122.2361412,44.70955593250644_-122.23614124564622,1222,1354,1373,1885
1/3/2020,44.72734258,-122.1428961,44.727342575132006_-122.1428961191546,582,765,942,1282
1/3/2020,44.69985413,-122.1927526,44.69985412743795_-122.19275261742324,505,588,482,529
1/3/2020,44.70901694,-122.1800864,44.70901694333597_-122.18008637191716,509,657,544,565
1/3/2020,44.69203878,-122.2531194,44.692038784466114_-122.25311940451608,499,560,530,838
1/3/2020,44.72788156,-122.1668811,44.72788156430248_-122.1668811372406,289,366,392,384
1/3/2020,44.71737128,-122.1892492,44.717371275478285_-122.18924918781518,379,551,724,1102
1/3/2020,44.71467633,-122.1787389,44.71467632962592_-122.178738898991,468,658,653,622
1/3/2020,44.70713048,-122.1876322,44.70713048123932_-122.18763222030375,499,632,529,540
1/3/2020,44.73731387,-122.1598743,44.73731387478573_-122.15987427802447,311,399,454,500
1/3/2020,44.72518662,-122.1372367,44.72518661845013_-122.13723673286466,472,627,822,1254
1/3/2020,44.71252037,-122.2442261,44.712520372944034_-122.24422608320327,431,559,701,1005
1/3/2020,44.71063391,-122.1873627,44.710633910847385_-122.18736272571851,596,777,930,1278
1/3/2020,44.71359835,-122.2447651,44.71359835128498_-122.24476507237377,579,704,730,934
1/3/2020,44.69096081,-122.2029934,44.69096080612517_-122.2029934116622,561,749,936,1224
1/3/2020,44.70497452,-122.2342548,44.70497452455744_-122.23425478354956,1500,1639,1629,1999
1/3/2020,44.71521532,-122.2447651,44.7152153187964_-122.24476507237377,490,599,501,598
1/3/2020,44.71683229,-122.1288824,44.71683228630781_-122.12888240072236,575,642,761,1129
1/3/2020,44.72249167,-122.1558319,44.72249167259776_-122.15583185924594,533,717,923,1362
1/3/2020,44.70066261,-122.1965255,44.70066261119366_-122.19652554161657,478,630,520,520
1/3/2020,44.68476243,-122.19949,44.68476243066474_-122.19948998205416,379,399,412,696
1/3/2020,44.70308806,-122.2334463,44.70308806246078_-122.23344629979384,868,1038,1001,1266
1/3/2020,44.71575431,-122.1577183,44.71575430796687_-122.1577183213426,505,644,823,1107
1/3/2020,44.69850665,-122.2436871,44.698506654511775_-122.24368709403282,497,483,470,642
1/3/2020,44.71009492,-122.173349,44.71009492167691_-122.17334900728626,403,445,450,652
1/3/2020,44.69230828,-122.2078443,44.69230827905135_-122.20784431419644,468,607,534,514
1/3/2020,44.69257777,-122.2078443,44.692577773636586_-122.20784431419644,449,628,542,520
1/3/2020,44.72330016,-122.1534064,44.723300156353474_-122.1534064079788,435,542,627,745
1/3/2020,44.69823716,-122.2073053,44.698237159926535_-122.20730532502598,494,618,501,523
1/3/2020,44.72680359,-122.1725405,44.726803585961534_-122.17254052353056,287,396,569,838
