usgs_site,date,var_desc,unit,value
14179000,1/1/2020,"Temperature, water, degrees Celsius",deg_C,5.8
14178000,1/1/2020,"Temperature, water, degrees Celsius",deg_C,5.3
14180300,1/1/2020,"Temperature, water, degrees Celsius",deg_C,5.4
14181500,1/1/2020,"Temperature, water, degrees Celsius",deg_C,6.8
14181500,1/1/2020,"Barometric pressure, millimeters of mercury",mm/Hg,732
14181500,1/1/2020,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",ug/l,0.04
14181500,1/1/2020,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,
14179000,1/2/2020,"Temperature, water, degrees Celsius",deg_C,5.7
14178000,1/2/2020,"Temperature, water, degrees Celsius",deg_C,5
14180300,1/2/2020,"Temperature, water, degrees Celsius",deg_C,5.3
14181500,1/2/2020,"Temperature, water, degrees Celsius",deg_C,6.7
14181500,1/2/2020,"Barometric pressure, millimeters of mercury",mm/Hg,735
14181500,1/2/2020,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",ug/l,0.03
14181500,1/2/2020,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,
14179000,1/3/2020,"Temperature, water, degrees Celsius",deg_C,5.4
14178000,1/3/2020,"Temperature, water, degrees Celsius",deg_C,4.6
14180300,1/3/2020,"Temperature, water, degrees Celsius",deg_C,4.9
14181500,1/3/2020,"Temperature, water, degrees Celsius",deg_C,6.4
14181500,1/3/2020,"Barometric pressure, millimeters of mercury",mm/Hg,733
14181500,1/3/2020,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",ug/l,0.03
14181500,1/3/2020,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,
14179000,1/4/2020,"Temperature, water, degrees Celsius",deg_C,5
14178000,1/4/2020,"Temperature, water, degrees Celsius",deg_C,4.3
14180300,1/4/2020,"Temperature, water, degrees Celsius",deg_C,4.5
14181500,1/4/2020,"Temperature, water, degrees Celsius",deg_C,6.4
14181500,1/4/2020,"Barometric pressure, millimeters of mercury",mm/Hg,740
14181500,1/4/2020,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",ug/l,0.05
14181500,1/4/2020,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,
14179000,1/5/2020,"Temperature, water, degrees Celsius",deg_C,4.5
14178000,1/5/2020,"Temperature, water, degrees Celsius",deg_C,3.9
14180300,1/5/2020,"Temperature, water, degrees Celsius",deg_C,4.1
14181500,1/5/2020,"Temperature, water, degrees Celsius",deg_C,6.3
14181500,1/5/2020,"Barometric pressure, millimeters of mercury",mm/Hg,742
14181500,1/5/2020,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",ug/l,0.05
14181500,1/5/2020,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,
14179000,1/6/2020,"Temperature, water, degrees Celsius",deg_C,4.2
14178000,1/6/2020,"Temperature, water, degrees Celsius",deg_C,3.8
14180300,1/6/2020,"Temperature, water, degrees Celsius",deg_C,4.4
14181500,1/6/2020,"Temperature, water, degrees Celsius",deg_C,6.2
14181500,1/6/2020,"Barometric pressure, millimeters of mercury",mm/Hg,741
14181500,1/6/2020,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",ug/l,0.04
14181500,1/6/2020,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,
14179000,1/7/2020,"Temperature, water, degrees Celsius",deg_C,5.1
14178000,1/7/2020,"Temperature, water, degrees Celsius",deg_C,4.6
14180300,1/7/2020,"Temperature, water, degrees Celsius",deg_C,5
14181500,1/7/2020,"Temperature, water, degrees Celsius",deg_C,6.3
14181500,1/7/2020,"Barometric pressure, millimeters of mercury",mm/Hg,732
14181500,1/7/2020,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",ug/l,0.04
