t,14178000,14179000,14180300,14181500,,,,,
1/1/2020,5.3---,5.8---,5.4---,6.8-732-0.59-0.04,,,,,
1/2/2020,5---,5.7---,5.3---,6.7-735-0.37-0.03,,,,,
1/3/2020,4.6---,5.4---,4.9---,6.4-733-0.35-0.03,,,,,
1/4/2020,4.3---,5---,4.5---,6.4-740-0.62-0.05,,,,,
1/5/2020,3.9---,4.5---,4.1---,6.3-742-0.43-0.05,,,,,
1/6/2020,3.8---,4.2---,4.4---,6.2-741-0.39-0.04,,,,,
1/7/2020,4.6---,5.1---,5---,6.3-732-0.4-0.04,,,,,
1/8/2020,4.3---,5.2---,4.8---,6.3-730-0.47-0.05,,,,,
1/9/2020,3.8---,4.8---,4.3---,6.2-736-0.39-0.06,,,,,
1/10/2020,3.8---,4.5---,4.3---,6-732-0.23-0.05,,,,,
1/11/2020,3.3---,4.5---,4.6---,6-732-0.21-0.06,,,,,
1/12/2020,3.1---,4.1---,4.3---,6-728-0.25-0.06,,,,,
1/13/2020,2.9---,4.1---,4---,5.8-728-0.23-0.07,,,,,
1/14/2020,2.6---,3.4---,3.2---,5.6-732-0.2-0.09,,,,,
1/15/2020,2.5---,3.3---,3.1---,5.5-726-0.19-0.11,,,,,
1/16/2020,3.1---,3.5---,3.2---,5.6-724-0.24-0.1,,,,,
1/17/2020,2.9---,3.5---,3.1---,5.6-735-0.23-0.09,,,,,
1/18/2020,3.3---,3.6---,3.3---,5.5-737-0.22-0.1,,,,,
1/19/2020,3.5---,3.9---,3.4---,5.5-736-0.2-0.1,,,,,
1/20/2020,3.8---,4.3---,3.7---,5.5-730-0.24-0.11,,,,,
1/21/2020,4---,4.5---,3.9---,5.6-729-0.25-0.1,,,,,
1/22/2020,4.1---,4.7---,4.1---,5.6-734-0.3-0.11,,,,,
1/23/2020,4.3---,5---,4.4---,5.4-733-0.26-0.11,,,,,
1/24/2020,4.5---,5.1---,4.7---,5.6-732-0.27-0.11,,,,,
1/25/2020,4.6---,5.3---,4.8---,5.5-731-0.35-0.12,,,,,
1/26/2020,4.6---,5.3---,4.9---,5.6-733-0.5-0.12,,,,,
1/27/2020,4.6---,5.2---,4.9---,5.4-735-0.33-0.13,,,,,
1/28/2020,4.6---,5.3---,5---,5.5-734-0.44-0.13,,,,,
1/29/2020,4.7---,5.4---,5.2---,5.5-738-0.41-0.14,,,,,
1/30/2020,4.7---,5.3---,5.1---,5.6-738-0.39-0.13,,,,,
1/31/2020,5---,5.6---,5.4---,5.7-738-0.43-0.14,,,,,
2/1/2020,4.8---,5.4---,5.3---,5.5-737-0.3-0.13,,,,,
2/2/2020,4.1---,4.7---,4.4---,5.3-737-0.17-0.12,,,,,
2/3/2020,3.7---,4.2---,3.8---,5.3-740-0.19-0.13,,,,,
2/4/2020,3.4---,4---,3.4---,5.4-742-0.22-0.13,,,,,
2/5/2020,3.7---,4.3---,4---,5.4-738-0.34-0.14,,,,,
2/6/2020,4.4---,5.1---,4.7---,5.8-737-0.4-0.14,,,,,
2/7/2020,4.8---,5.4---,5.1---,6-735-0.38-0.14,,,,,
2/8/2020,4.2---,4.8---,4.4---,5.5-737-0.21-0.13,,,,,
2/9/2020,4.1---,4.6---,4.2---,5.3-742-0.18-0.13,,,,,
2/10/2020,4.2---,4.6---,4.2---,5.4-741-0.22-0.13,,,,,
2/11/2020,4.2---,4.7---,4.3---,5.6-740-0.33-0.14,,,,,
2/12/2020,4.4---,4.8---,4.3---,5.6-737-0.33-0.14,,,,,
2/13/2020,3.9---,4.3---,3.9---,5.5-733-0.34-0.14,,,,,
2/14/2020,4.4---,4.7---,4.3---,5.6-737-0.42-0.15,,,,,
2/15/2020,4.4---,4.6---,4.3---,5.5-736-0.32-0.14,,,,,
2/16/2020,4---,4.2---,3.8---,5.4-738-0.22-0.13,,,,,
2/17/2020,4.1---,4.5---,3.9---,5.5-741-0.3-0.14,,,,,
2/18/2020,3.3---,3.7---,3.3---,5.4-738-0.27-0.14,,,,,
2/19/2020,3.2---,3.5---,3---,5.3-737-0.28-0.14,,,,,
2/20/2020,3.5---,3.6---,3.2---,5.3-737-0.36-0.15,,,,,
