t,BO,HT,LB
7/26/2011 12:55,15331.37701,,
7/26/2011 14:15,,1656.028388,
7/26/2011 15:15,,,1922.617125
7/29/2011 10:12,,,9952.390754
8/2/2011 11:00,,,90233.75329
8/9/2011 10:49,,,96612.61542
8/9/2011 11:46,,473411.1738,
8/9/2011 12:40,63533.41415,,
8/16/2011 12:20,464176.4924,,
8/16/2011 13:10,,661632.4678,
8/24/2011 12:05,25631.91838,,
8/24/2011 13:03,,287773.2387,
8/24/2011 14:05,,,14561.46085
8/31/2011 12:16,119968.9568,,
8/31/2011 12:58,,301185.5286,
9/7/2011 12:55,2678405.031,,
9/7/2011 13:50,,164169.262,
9/7/2011 15:00,,,185469.0002
9/13/2011 13:20,160324.3887,,
9/13/2011 14:20,,268394.9026,
9/13/2011 15:05,,,354448.6919
9/20/2011 10:21,,,769075.2404
9/20/2011 12:30,,219484418,
9/20/2011 12:50,323048.3885,,
9/27/2011 10:30,,,520270.7851
9/27/2011 11:05,,,375937.5996
9/27/2011 12:00,,390051.087,
10/26/2011 10:45,,,5714.785022
10/26/2011 11:35,,,14620.12416
11/30/2011 11:40,,,1360.366691
11/30/2011 12:00,,,81.43281003
5/8/2012 11:10,,,6944.897136
5/8/2012 12:00,,760.5509564,
5/8/2012 12:50,455.7005846,,
5/15/2012 11:20,,,313587.2752
5/15/2012 12:00,,91845.46614,
5/15/2012 13:20,2015.247562,,
5/22/2012 10:55,,,55979.80844
5/22/2012 11:15,,1786.954167,
5/29/2012 10:50,,,166937.226
5/29/2012 11:40,,38560.48328,
5/29/2012 12:05,16091.34704,,
6/5/2012 10:40,,,345125.1954
6/5/2012 11:10,,12166906.29,
6/5/2012 11:50,576341.4131,,
6/12/2012 11:00,,,3273907.151
6/18/2012 10:20,,670852.778,
6/18/2012 11:20,,,790687.9153
6/18/2012 12:15,275846.6406,,
6/21/2012 10:10,,,57050.48499
6/26/2012 10:40,,,237542.361
6/26/2012 11:05,,118906.1645,
6/26/2012 11:45,122386.1449,,
7/2/2012 10:10,,,96770.24628
7/2/2012 10:40,,101166.9576,
7/2/2012 11:20,9888.609264,,
7/5/2012 10:00,,,180469.4769
7/9/2012 10:30,,,175.93079
7/9/2012 11:10,,73196.29125,
7/9/2012 11:55,32061.93598,,
7/12/2012 10:30,,,14208.81071
7/12/2012 10:40,,,1686.389373
7/12/2012 11:15,,15136.88577,
7/12/2012 12:00,,44098.21057,
7/17/2012 11:10,,,1182.252026
7/24/2012 11:45,,42278.28442,
7/24/2012 12:25,27998.86386,,
7/31/2012 10:05,,,452520.5849
7/31/2012 11:15,,34342.35645,
7/31/2012 12:00,5778.9655,,
