t,BO,HT,LB
4/12/2016 10:10,-,-,0.027-0.021
4/12/2016 10:58,-,0.007-0.017,-
4/26/2016 11:05,-,-,0.005-0.014
4/26/2016 12:02,-,-0.004-0.011,-
5/3/2016 11:15,-,-,0.006-0.017
5/3/2016 12:10,-,0.005-0.014,-
5/9/2016 11:05,-,-,0.01-0.016
5/9/2016 12:10,-,0.002-0.019,-
5/17/2016 10:59,-,-,-0.006-0.012
5/17/2016 11:54,-,-0.007-0.01,-
5/17/2016 12:32,-0.01-0.017,-,-
5/24/2016 9:32,-,-,0.049-0.012
5/24/2016 10:20,-,0.068-0.013,-
5/31/2016 11:48,-,-,0.124-0.018
5/31/2016 12:32,-,0.511-0.055,-
6/7/2016 11:18,-,-,0.107-0.012
6/7/2016 12:15,-,0.157-0.015,-
6/7/2016 12:23,-,0.235-0.017,-
6/14/2016 10:11,-,-,0.116-0.044
6/14/2016 10:51,-,0.093-0.019,-
6/21/2016 12:58,-,-,0.066-0.008
6/21/2016 13:47,-,0.049-0.007,-
6/28/2016 12:50,-,-,0.184-0.013
6/28/2016 13:40,-,0.205-0.013,-
7/5/2016 11:40,-,-,0.407-0.013
7/5/2016 12:24,-,0.594-0.023,-
7/12/2016 10:55,-,-,0.372-0.009
7/12/2016 11:55,-,0.361-0.009,-
7/18/2016 12:00,-,-,0.193-0.005
7/18/2016 13:10,-,0.184-0.006,-
7/26/2016 10:30,-,-,0.136-0.006
7/26/2016 11:41,-,0.117-0.003,-
8/2/2016 11:37,-,-,0.087-0.009
8/2/2016 12:23,-,0.085-0.009,-
8/9/2016 0:00,-,0.091-0.007,0.083-0.005
8/17/2016 10:41,-,-,0.102-0.004
8/17/2016 11:18,-,0.079-0.002,-
8/23/2016 11:25,-,-,-0.025-0.006
8/23/2016 12:07,-,0.124-0.012,-
8/23/2016 12:13,-,0.02-0.015,-
8/29/2016 11:50,-,-,-0.002-0.007
8/29/2016 12:31,-,0.013-0.005,-
9/6/2016 10:42,-,-,0.091-0.005
9/6/2016 11:18,-,0.098-0.006,-
9/13/2016 10:28,-,-,0.094-0.008
