date,TotalNit,TotalPhos
1/20/2016 10:27,0.188,0.0154
1/20/2016 10:36,0.182,0.014
1/20/2016 10:40,0.161,0.0138
1/27/2016 9:56,0.121,0.0131
1/27/2016 10:17,0.145,0.0224
1/27/2016 10:25,0.128,0.0142
1/27/2016 10:33,0.15,0.0114
2/3/2016 10:26,0.117,0.0149
2/3/2016 10:52,0.137,0.0158
2/3/2016 11:01,0.115,0.0151
2/3/2016 11:13,0.118,0.0154
2/10/2016 10:38,0.122,0.011
2/10/2016 10:51,0.123,0.013
2/10/2016 10:59,0.125,0.011
2/10/2016 11:05,0.125,0.013
2/17/2016 10:01,0.112,0.02
2/17/2016 10:16,0.12,0.017
2/17/2016 10:30,0.143,0.02
3/2/2016 10:14,0.035,0.012
3/2/2016 10:24,0.054,0.016
3/2/2016 10:31,0.044,0.014
3/9/2016 9:55,0.029,0.021
3/9/2016 10:12,0.047,0.019
3/9/2016 10:21,0.071,0.021
3/9/2016 10:28,0.042,0.014
3/16/2016 10:49,0.191,0.016
3/16/2016 11:05,0.154,0.012
3/16/2016 11:13,0.176,0.017
3/16/2016 11:25,0.166,0.013
3/23/2016 9:15,0.093,0.019
3/23/2016 9:29,0.079,0.016
3/23/2016 9:37,0.153,0.035
3/23/2016 9:46,0.101,0.016
3/30/2016 10:41,0.089,0.014
3/30/2016 10:54,0.229,0.032
3/30/2016 11:01,0.21,0.015
3/30/2016 11:10,0.156,0.024
3/30/2016 11:22,0.161,0.015
4/6/2016 10:41,0.144,0.012
4/6/2016 11:06,0.21,0.021
4/6/2016 11:14,0.199,0.021
4/6/2016 11:21,0.234,0.017
4/12/2016 10:10,0.027,0.021
4/12/2016 10:16,0.028,0.02
4/12/2016 10:22,0.008,0.023
4/12/2016 10:58,0.007,0.017
4/12/2016 12:31,0.013,0.018
4/12/2016 13:01,0.013,0.018
4/12/2016 14:14,0.019,0.021
4/13/2016 10:23,0.051,0.015
4/13/2016 10:39,0.121,0.026
4/13/2016 10:47,0.309,0.073
4/13/2016 10:54,0.064,0.024
4/20/2016 10:26,0.043,0.014
4/20/2016 10:36,0.102,0.024
4/20/2016 10:44,0.539,0.081
4/20/2016 10:52,0.14,0.032
4/26/2016 11:05,0.005,0.014
4/26/2016 11:11,0.016,0.015
4/26/2016 11:18,-0.02,0.015
4/26/2016 12:02,-0.004,0.011
4/26/2016 13:34,0.009,0.01
4/26/2016 14:38,0.022,0.015
4/27/2016 10:29,0.024,0.01
4/27/2016 10:40,0.045,0.01
4/27/2016 10:52,0.066,0.014
4/27/2016 10:59,0.039,0.01
5/3/2016 11:15,0.006,0.017
5/3/2016 11:23,0.014,0.016
5/3/2016 11:31,-0.011,0.017
5/3/2016 12:10,0.005,0.014
5/3/2016 14:39,0.006,0.02
5/4/2016 10:44,0.013,0.014
