t,S33,SLE
1/1/2020,51.8-44.78-35.6,54-49.78077-45
1/2/2020,46.4-39.17273-32,51.1-46.66071-42.8
1/3/2020,59-49.45455-41,59-50.57692-44.1
1/4/2020,50-38.64412-32,48.9-43.22414-39
1/5/2020,44.6-37.81311-32,48-43.64286-42.1
1/6/2020,51.8-43.72647-35.6,50-47.12647-44.1
1/7/2020,51.8-42.68923-37.4,53.1-48.87576-46
1/8/2020,42.8-37.01923-30.2,46-42.40833-37.9
1/9/2020,37.4-29.78462-19.4,42.8-38.07895-33.1
1/10/2020,50-38.2-30.2,46.9-43.8-39
1/11/2020,42.8-36.48657-33.8,46-43.33103-41
1/12/2020,42.8-34.89565-30.2,46.9-41.79189-37
1/13/2020,37.4-33.1662-30.2,39-37.70526-36
1/14/2020,33.8-27.86269-19.4,39.9-34.57561-30
1/15/2020,39.2-33.26563-24.8,46.9-38.05161-28
1/16/2020,37.4-30.00909-15.8,44.1-38.36667-30.9
1/17/2020,35.6-28.69118-17.6,43-37.82581-30.9
1/18/2020,46.4-40.44225-33.8,50-44.86111-39.9
1/19/2020,48.2-38.85588-32,51.1-46.11333-45
1/20/2020,35.6-32.23774-28.4,46-43.50952-41
1/21/2020,46.4-37.57419-28.4,48.9-45.21154-42.1
1/22/2020,48.2-42.58507-35.6,54-48.6-44.1
1/23/2020,53.6-49.24348-44.6,57-53.02903-51.1
1/24/2020,51.8-43.43871-33.8,54-50.73704-46.9
1/25/2020,55.4-46.53433-41,57-50.80345-46.9
1/26/2020,50-42.48696-37.4,54-49.66538-44.1
1/27/2020,48.2-41.70909-32,53.1-48.45-41
1/28/2020,46.4-40.67042-30.2,51.1-47.69459-44.1
1/29/2020,48.2-39.975-32,48.9-46.88571-46
1/30/2020,51.8-40.56364-32,54-48.61277-44.1
1/31/2020,59-51.05231-42.8,61-57.22143-54
2/1/2020,55.4-47.12-33.8,55.9-49.33333-41
2/2/2020,37.4-31.31818-23,46.9-37.86538-30
2/3/2020,37.4-25.75-17.6,42.1-35.32941-28.9
2/4/2020,33.8-27.1625-17.6,41-35.97407-27
2/5/2020,50-44.04839-33.8,51.1-46.05161-41
2/6/2020,53.6-47.80625-44.6,57-51.61667-48
2/7/2020,53.6-46.7375-37.4,52-48.10571-43
2/8/2020,42.8-35.21429-23,48-42.37941-35.1
2/9/2020,46.4-31.82-21.2,46-37.20645-32
2/10/2020,46.4-31.975-21.2,46-36.21429-30
2/11/2020,55.4-38.275-26.6,46.9-36.12174-30
2/12/2020,48.2-34.0087-23,48.9-36.57547-30
2/13/2020,57.2-36.65882-21.2,44.1-37.44103-30.9
2/14/2020,48.2-37.26154-28.4,48.9-43.17407-37
2/15/2020,44.6-39.2507-33.8,46-43.74-42.1
2/16/2020,46.4-37.76-26.6,48.9-42.73793-37.9
2/17/2020,42.8-32.55385-21.2,48.9-40.52917-33.1
2/18/2020,42.8-27.8169-15.8,51.1-35.70667-28.9
2/19/2020,44.6-27.40597-15.8,57.9-41.42917-28
2/20/2020,44.6-28.79375-17.6,54-40.5125-30
2/21/2020,53.6-35.0566-19.4,57-41.575-28
2/22/2020,55.4-38.64615-23,57.9-41.08462-28.9
2/23/2020,51.8-39.92692-30.2,52-44.90667-39.9
2/24/2020,44.6-34.57143-24.8,48.9-40.82917-32
2/25/2020,51.8-36.13239-19.4,54-37.89143-28.9
2/26/2020,55.4-40.6-28.4,55.9-46.85294-37.9
2/27/2020,62.6-40.34085-23,61-40.72-32
2/28/2020,60.8-43.02154-24.8,53.1-41.42162-30.9
2/29/2020,44.6-36.675-24.8,46-39.345-28.9
3/1/2020,44.6-32.35493-17.6,46.9-37.31765-30
3/2/2020,50-39.32676-26.6,48.9-45.2931-37
3/3/2020,60.8-45.25915-33.8,59-50.16667-46
3/4/2020,57.2-44.45-32,55-48.07917-39
3/5/2020,68-45.62857-26.6,60.1-46.82174-33.1
3/6/2020,59-43.94783-32,46.9-43.42813-39.9
3/7/2020,48.2-38.51549-32,45-41.01395-32
3/8/2020,46.4-36.43478-23,48.9-36.34878-28.9
3/9/2020,51.8-38.28696-28.4,55.9-37.78108-28.9
3/10/2020,60.8-40.75-24.8,62.1-44.3-30
3/11/2020,59-41.51045-28.4,57-45.88966-36
3/12/2020,51.8-34.48182-19.4,53.1-41.59583-30
3/13/2020,48.2-33.425-23,39.9-37.54242-33.1
3/14/2020,32-27.65-23,45-36.736-32
3/15/2020,24.8-22.97465-21.2,50-39.40833-30
3/16/2020,37.4-30.125-24.8,60.1-45.8125-34
3/17/2020,48.2-33.26269-21.2,60.1-44.50417-30.9
3/18/2020,51.8-38.4918-28.4,57.9-46.52083-37.9
3/19/2020,57.2-42.96071-24.8,63-47.1-32
3/20/2020,59-43.55652-28.4,64.9-49.65417-36
3/21/2020,60.8-43.825-30.2,60.1-46.75833-35.1
3/22/2020,62.6-44.025-24.8,63-47.20769-33.1
3/23/2020,51.8-44.06885-32,52-45-42.1
3/24/2020,50-38.57391-26.6,48-41.84375-37.9
3/25/2020,44.6-35.06761-23,52-40.72105-35.1
3/26/2020,48.2-33.25-17.6,48.9-41.824-34
3/27/2020,48.2-39.65-26.6,50-45.30714-42.1
3/28/2020,51.8-44.32113-37.4,52-48.84074-46
3/29/2020,53.6-45.475-41,57.9-49.96667-46.4
3/30/2020,50-42.69412-35.6,48.9-46.1871-43
3/31/2020,44.6-37.2-28.4,51.1-43.57667-39.9
4/1/2020,46.4-34.41791-26.6,46.9-40.92667-37.9
4/2/2020,46.4-34.14839-23,48-41.732-36
4/3/2020,46.4-34.66197-21.2,50-38.86216-30.9
4/4/2020,46.4-34.775-24.8,48-42.11538-37
4/5/2020,51.8-40.89714-35.6,63-50.57692-42.1
4/6/2020,57.2-44.08955-32,61-51.06296-42.8
4/7/2020,64.4-45.775-28.4,61-49.70417-39
4/8/2020,64.4-46.4507-28.4,70-53.36667-35.1
4/9/2020,69.8-49.06197-28.4,75.9-57.82917-41
4/10/2020,69.8-53.11831-33.8,70-54.87917-39.9
4/11/2020,62.6-51.26761-35.6,63-51.768-44.1
4/12/2020,55.4-42.65-26.6,64-51.175-36
4/13/2020,53.6-40.6-23,64.9-50.75833-34
4/14/2020,68-49.07429-30.2,68-50.98333-35.1
4/15/2020,62.6-50.35-37.4,62.1-52.28571-43
4/16/2020,59-43.99155-26.6,70-56.4625-43
4/17/2020,71.6-49.825-26.6,75.9-56.4375-37
4/18/2020,60.8-46.35-33.8,52-48.54815-44.1
4/19/2020,62.6-46.58529-28.4,61-48.70645-39
4/20/2020,69.8-51.2-32,69.1-53.025-37.9
4/21/2020,68-51.31831-35.6,57.9-51.64231-45
4/22/2020,62.6-50.625-37.4,57.9-53.28485-45
4/23/2020,62.6-54.075-44.6,63-53.77097-46.9
4/24/2020,68-53.525-42.8,62.1-55.73125-50
4/25/2020,62.6-52.5-42.8,64.9-56.49333-45
4/26/2020,69.8-54.35-33.8,66.9-50.95-37.9
