t,S33,,
1/1/2020 0:15,46.4-39.2-75.84-200-11-0,,
1/1/2020 0:35,44.6-39.2-81.2-190-10-0,,
1/1/2020 0:55,44.6-39.2-81.2-190-9-0,,
1/1/2020 1:15,44.6-39.2-81.2-190-7-0,,
1/1/2020 1:35,44.6-39.2-81.2-180-12-0,,
1/1/2020 1:55,44.6-39.2-81.2-180-7-0,,
1/1/2020 2:15,44.6-39.2-81.2-180-10-0,,
1/1/2020 2:35,44.6-41-87.09-180-11-0,,
1/1/2020 2:55,46.4-41-81.34-180-11-0,,
1/1/2020 3:15,44.6-41-87.09-190-8-0,,
1/1/2020 3:35,46.4-41-81.34-190-8-0,,
1/1/2020 3:55,46.4-41-81.34-210-9-0,,
1/1/2020 4:15,48.2-41-76.01-200-7-0,,
1/1/2020 4:35,46.4-41-81.34-220-9-0,,
1/1/2020 4:55,46.4-41-81.34-200-8-0,,
1/1/2020 5:15,46.4-41-81.34-200-7-0,,
1/1/2020 5:35,48.2-39.2-70.88-210-10-0,,
1/1/2020 5:55,46.4-39.2-75.84-200-7-0,,
1/1/2020 6:15,46.4-37.4-70.68-220-8-0,,
1/1/2020 6:35,46.4-39.2-75.84-210-4-0,,
1/1/2020 6:55,46.4-37.4-70.68-250-8-0,,
1/1/2020 7:15,46.4-37.4-70.68-190-6-0,,
1/1/2020 7:35,46.4-35.6-65.83-260-10-0.01,,
1/1/2020 7:55,44.6-37.4-75.68-190-4-0.01,,
1/1/2020 8:15,44.6-37.4-75.68-250-4-0,,
1/1/2020 8:35,44.6-35.6-70.48-250-19-0.01,,
1/1/2020 8:55,44.6-35.6-70.48-240-14-0.01,,
1/1/2020 9:15,44.6-33.8-65.61-210-11-0,,
1/1/2020 9:35,44.6-35.6-70.48-210-7-0,,
1/1/2020 9:55,46.4-37.4-70.68-220-5-0,,
1/1/2020 10:15,48.2-37.4-66.05-210-10-0,,
1/1/2020 10:35,48.2-35.6-61.52-210-10-0,,
1/1/2020 10:55,50-35.6-57.52-220-12-0,,
1/1/2020 11:15,48.2-35.6-61.52-230-16-0,,
1/1/2020 11:35,50-33.8-53.54-230-18-0,,
1/1/2020 11:55,50-33.8-53.54-220-14-0,,
1/1/2020 12:15,50-33.8-53.54-210-10-0,,
1/1/2020 12:35,50-33.8-53.54-230-15-0,,
1/1/2020 12:55,51.8-33.8-50.08-280-17-0,,
1/1/2020 13:15,48.2-33.8-57.26-260-6-0,,
1/1/2020 13:35,48.2-32-53.27-260-12-0,,
1/1/2020 13:55,46.4-33.8-61.28-270-11-0,,
1/1/2020 14:15,48.2-33.8-57.26-240-13-0,,
1/1/2020 14:35,46.4-33.8-61.28-230-10-0,,
1/1/2020 14:55,46.4-32-57-270-11-0,,
1/1/2020 15:15,46.4-32-57-270-14-0,,
1/1/2020 15:35,44.6-30.2-56.74-270-10-0,,
1/1/2020 15:55,44.6-32-61.03-70-5-0,,
1/1/2020 16:15,42.8-32-65.38-140-3-0,,
1/1/2020 16:35,41-30.2-65.16-120-4-0,,
1/1/2020 16:55,42.8-32-65.38-120-6-0,,
1/1/2020 17:15,41-32-70.08-160-4-0,,
1/1/2020 17:35,41-32-70.08-120-5-0,,
1/1/2020 17:55,41-32-70.08-180-5-0,,
1/1/2020 18:15,39.2-32-75.16-150-8-0,,
1/1/2020 19:15,41-32-70.08-210-10-0,,
1/1/2020 19:35,42.8-32-65.38-220-11-0,,
1/1/2020 19:55,42.8-32-65.38-230-8-0,,
1/1/2020 20:15,42.8-32-65.38-260-8-0,,
1/1/2020 20:35,42.8-32-65.38-250-7-0,,
1/1/2020 20:55,44.6-30.2-56.74-280-5-0,,
1/1/2020 21:15,39.2-32-75.16-70-3-0,,
1/1/2020 21:35,39.2-32-75.16-0-0-0,,
1/1/2020 21:55,37.4-32-80.65-120-3-0,,
1/1/2020 22:15,41-32-70.08-0-0-0,,
1/1/2020 22:35,42.8-30.2-60.79-250-6-0,,
1/1/2020 22:55,41-30.2-65.16-30-3-0,,
1/1/2020 23:15,39.2-30.2-69.88-0-0-0,,
1/1/2020 23:35,37.4-30.2-74.98-80-8-0,,
1/1/2020 23:55,35.6-30.2-80.51-50-8-0,,
1/2/2020 0:15,35.6-30.2-80.51-70-6-0,,
1/2/2020 0:55,35.6-30.2-80.51-80-7-0,,
1/2/2020 1:15,35.6-30.2-80.51-90-8-0,,
1/2/2020 1:35,35.6-28.4-74.8-110-4-0,,
1/2/2020 1:55,33.8-28.4-80.36-110-7-0,,
1/2/2020 2:15,33.8-28.4-80.36-90-7-0,,
1/2/2020 2:35,35.6-28.4-74.8-110-4-0,,
1/2/2020 2:55,35.6-28.4-74.8-100-4-0,,
1/2/2020 3:15,35.6-28.4-74.8-0-0-0,,
1/2/2020 3:35,35.6-28.4-74.8-0-0-0,,
1/2/2020 3:55,37.4-28.4-69.67-180-3-0,,
1/2/2020 4:15,33.8-28.4-80.36-140-5-0,,
1/2/2020 4:35,33.8-28.4-80.36-40-3-0,,
1/2/2020 4:55,33.8-28.4-80.36-70-5-0,,
1/2/2020 5:15,33.8-28.4-80.36-100-5-0,,
1/2/2020 5:35,33.8-28.4-80.36-110-6-0,,
1/2/2020 5:55,32-28.4-86.39-110-7-0,,
1/2/2020 6:15,32-28.4-86.39-120-8-0,,
1/2/2020 6:35,32-28.4-86.39-120-6-0,,
1/2/2020 6:55,32-28.4-86.39-120-6-0,,
1/2/2020 7:15,32-28.4-86.39-130-7-0,,
1/2/2020 7:35,32-28.4-86.39-130-7-0,,
1/2/2020 7:55,32-28.4-86.39-130-5-0,,
1/2/2020 8:15,32-28.4-86.39-140-6-0,,
1/2/2020 8:35,33.8-30.2-86.49-140-5-0,,
1/2/2020 8:55,33.8-30.2-86.49-0-0-0,,
1/2/2020 9:35,37.4-30.2-74.98-280-3-0,,
1/2/2020 9:55,37.4-30.2-74.98-0-0-0,,
1/2/2020 10:15,39.2-32-75.16-0-0-0,,
1/2/2020 10:35,41-32-70.08-0-0-0,,
1/2/2020 10:55,42.8-32-65.38-200-4-0,,
1/2/2020 11:15,42.8-32-65.38-180-10-0,,
1/2/2020 11:35,44.6-32-61.03-180-9-0,,
1/2/2020 12:15,44.6-32-61.03-190-10-0,,
1/2/2020 12:35,44.6-32-61.03-210-8-0,,
1/2/2020 12:55,44.6-32-61.03-200-9-0,,
1/2/2020 13:15,44.6-32-61.03-200-7-0,,
1/2/2020 13:35,44.6-32-61.03-210-7-0,,
1/2/2020 13:55,44.6-32-61.03-210-9-0,,
1/2/2020 14:35,44.6-32-61.03-190-13-0,,
1/2/2020 14:55,44.6-32-61.03-210-11-0,,
1/2/2020 15:15,44.6-32-61.03-200-6-0,,
1/2/2020 15:35,44.6-32-61.03-200-8-0,,
1/2/2020 15:55,44.6-32-61.03-190-3-0,,
1/2/2020 16:15,44.6-32-61.03-200-5-0,,
1/2/2020 16:35,44.6-32-61.03-210-15-0,,
1/2/2020 16:55,44.6-32-61.03-170-11-0,,
1/2/2020 17:15,41-32-70.08-170-9-0,,
1/2/2020 17:35,42.8-32-65.38-180-10-0,,
1/2/2020 17:55,41-32-70.08-160-6-0,,
1/2/2020 18:15,42.8-33.8-70.28-200-9-0,,
1/2/2020 18:35,42.8-32-65.38-200-10-0,,
1/2/2020 18:55,44.6-33.8-65.61-180-11-0,,
1/2/2020 19:15,41-32-70.08-180-7-0,,
1/2/2020 19:35,39.2-32-75.16-160-6-0,,
1/2/2020 20:15,37.4-32-80.65-150-7-0,,
1/2/2020 20:35,37.4-32-80.65-150-8-0,,
1/2/2020 20:55,37.4-32-80.65-130-6-0,,
1/2/2020 21:15,41-32-70.08-170-10-0,,
1/2/2020 21:35,41-32-70.08-160-7-0,,
1/2/2020 22:15,42.8-32-65.38-170-11-0,,
1/2/2020 22:35,42.8-30.2-60.79-180-13-0,,
1/2/2020 22:55,42.8-30.2-60.79-170-11-0,,
1/2/2020 23:15,42.8-28.4-56.48-180-12-0,,
1/2/2020 23:35,46.4-26.6-45.73-180-15-0,,
1/2/2020 23:55,46.4-26.6-45.73-190-8-0,,
1/3/2020 0:35,46.4-26.6-45.73-180-10-0,,
1/3/2020 0:55,46.4-26.6-45.73-180-14-0,,
1/3/2020 1:15,46.4-26.6-45.73-180-13-0,,
1/3/2020 1:35,48.2-24.8-39.66-170-13-0,,
1/3/2020 1:55,48.2-23-36.78-180-15-0,,
1/3/2020 2:15,48.2-23-36.78-180-12-0,,
1/3/2020 4:15,46.4-19.4-33.79-140-15-0,,
1/3/2020 4:35,46.4-19.4-33.79-140-9-0,,
1/3/2020 4:55,46.4-19.4-33.79-160-10-0,,
1/3/2020 5:15,50-17.6-27.33-160-14-0,,
1/3/2020 5:35,50-17.6-27.33-170-14-0,,
1/3/2020 5:55,48.2-17.6-29.23-170-14-0,,
1/3/2020 6:15,41-21.2-44.85-140-5-0,,
1/3/2020 6:35,44.6-21.2-39.06-150-14-0,,
1/3/2020 6:55,44.6-19.4-36.18-160-12-0,,
1/3/2020 7:15,44.6-19.4-36.18-160-13-0,,
1/3/2020 7:35,44.6-19.4-36.18-150-13-0,,
1/3/2020 7:55,46.4-19.4-33.79-160-16-0,,
1/3/2020 8:15,46.4-19.4-33.79-160-15-0,,
1/3/2020 8:35,46.4-19.4-33.79-150-14-0,,
1/3/2020 8:55,46.4-19.4-33.79-170-16-0,,
1/3/2020 9:15,46.4-19.4-33.79-160-16-0,,
1/3/2020 9:35,46.4-19.4-33.79-160-13-0,,
1/3/2020 9:55,48.2-19.4-31.57-150-12-0,,
1/3/2020 10:15,50-19.4-29.52-170-18-0,,
1/3/2020 10:35,50-21.2-31.87-160-17-0,,
1/3/2020 10:55,51.8-21.2-29.82-160-15-0,,
1/3/2020 11:15,51.8-21.2-29.82-170-18-0,,
1/3/2020 11:35,51.8-21.2-29.82-170-15-0,,
1/3/2020 11:55,53.6-21.2-27.91-160-14-0,,
1/3/2020 12:15,53.6-21.2-27.91-150-11-0,,
1/3/2020 12:35,53.6-21.2-27.91-160-12-0,,
1/3/2020 12:55,55.4-21.2-26.13-170-17-0,,
1/3/2020 13:15,55.4-21.2-26.13-170-14-0,,
1/3/2020 13:35,55.4-23-28.2-160-13-0,,
1/3/2020 13:55,57.2-21.2-24.49-160-13-0,,
1/3/2020 14:15,59-21.2-22.95-160-13-0,,
1/3/2020 14:35,55.4-23-28.2-160-13-0,,
1/3/2020 14:55,55.4-23-28.2-160-13-0,,
1/3/2020 15:15,55.4-23-28.2-170-12-0,,
1/3/2020 15:35,55.4-23-28.2-170-9-0,,
1/3/2020 15:55,53.6-23-30.11-170-8-0,,
1/3/2020 16:15,53.6-24.8-32.46-160-6-0,,
1/3/2020 16:35,51.8-24.8-34.69-160-9-0,,
1/3/2020 16:55,53.6-24.8-32.46-140-12-0,,
1/3/2020 17:15,51.8-24.8-34.69-140-10-0,,
1/3/2020 17:35,50-23-34.39-150-9-0,,
1/3/2020 17:55,51.8-23-32.17-150-10-0,,
1/3/2020 18:15,50-23-34.39-150-9-0,,
1/3/2020 18:35,50-23-34.39-160-8-0,,
1/3/2020 18:55,46.4-23-39.36-160-5-0,,
1/3/2020 19:15,46.4-23-39.36-0-0-0,,
1/3/2020 19:35,44.6-23-42.14-170-4-0,,
1/3/2020 19:55,44.6-23-42.14-160-7-0,,
1/3/2020 20:15,44.6-24.8-45.44-170-7-0,,
