Date,SLE
1/1/2020 0:00,---200-13-
1/1/2020 0:05,---200-11-
1/1/2020 0:10,---200-11-
1/1/2020 0:15,---200-13-
1/1/2020 0:20,---200-11-
1/1/2020 0:25,---200-11-
1/1/2020 0:30,---200-11-
1/1/2020 0:35,---210-11-
1/1/2020 0:45,---200-11-
1/1/2020 0:50,---200-11-
1/1/2020 0:55,---200-11-
1/1/2020 0:56,50-48-92.8-200-12-
1/1/2020 1:05,---200-13-
1/1/2020 1:10,---200-11-
1/1/2020 1:25,---200-13-
1/1/2020 1:30,---190-13-
1/1/2020 1:45,---200-11-
1/1/2020 1:55,---200-10-
1/1/2020 1:56,51.1-48-89.09-200-10-0
1/1/2020 2:00,---190-14-
1/1/2020 2:05,---190-11-
1/1/2020 2:10,---190-11-
1/1/2020 2:25,---190-13-
1/1/2020 2:30,---200-10-
1/1/2020 2:35,---210-8-
1/1/2020 2:40,---200-11-
1/1/2020 2:50,---200-8-
1/1/2020 2:55,---210-10-
1/1/2020 2:56,51.1-48-89.09-200-9-
1/1/2020 3:15,---210-10-
1/1/2020 3:20,---210-11-
1/1/2020 3:25,---200-9-
1/1/2020 3:30,---200-11-
1/1/2020 3:35,---200-9-
1/1/2020 3:40,---200-10-
1/1/2020 3:55,---210-9-
1/1/2020 3:56,52-48.9-89.13-210-9-0
1/1/2020 4:00,---210-10-
1/1/2020 4:05,---200-10-
1/1/2020 4:10,---200-7-
1/1/2020 4:25,---210-8-
1/1/2020 4:35,---210-9-
1/1/2020 4:45,---210-8-
1/1/2020 4:50,---210-8-
1/1/2020 4:55,---210-8-
1/1/2020 4:56,52-48.9-89.13-210-7-0
1/1/2020 5:00,---210-7-
1/1/2020 5:10,---210-9-
1/1/2020 5:15,---220-8-
1/1/2020 5:25,---220-9-
1/1/2020 5:35,---220-9-
1/1/2020 5:40,---220-10-
1/1/2020 5:45,---220-10-
1/1/2020 5:56,52-48-86.17-220-10-0
1/1/2020 6:00,---220-11-
1/1/2020 6:05,---230-10-
1/1/2020 6:10,---230-9-
1/1/2020 6:15,---230-9-
1/1/2020 6:20,---230-10-
1/1/2020 6:30,---230-7-
1/1/2020 6:35,---230-11-
1/1/2020 6:45,---230-8-
1/1/2020 6:50,---230-9-
1/1/2020 6:55,---230-9-
1/1/2020 6:56,52-46.9-82.68-230-9-0
1/1/2020 7:05,---240-9-
1/1/2020 7:10,---240-8-
1/1/2020 7:20,---250-8-
1/1/2020 7:25,---260-5-
1/1/2020 7:30,---260-7-
1/1/2020 7:40,---240-8-
1/1/2020 7:50,---250-8-
1/1/2020 7:56,51.1-46-82.62-240-8-0
1/1/2020 8:00,---240-7-
1/1/2020 8:10,---230-7-
1/1/2020 8:20,---230-4-
1/1/2020 8:30,---220-5-
1/1/2020 8:45,---190-4-
1/1/2020 8:50,---180-4-
1/1/2020 8:56,50-45-82.86-0-0-0
1/1/2020 9:10,---110-2-
1/1/2020 9:15,---110-4-
1/1/2020 9:20,---130-5-
1/1/2020 9:25,---150-5-
1/1/2020 9:30,---160-5-
1/1/2020 9:35,---160-4-
1/1/2020 9:40,---160-4-
1/1/2020 9:55,---230-4-
1/1/2020 9:56,51.1-46-82.62-220-4-
1/1/2020 10:05,---210-7-0.01
1/1/2020 10:15,---220-9-0.01
1/1/2020 10:20,---230-7-0.01
1/1/2020 10:25,---220-9-0.01
1/1/2020 10:30,---230-7-0.01
1/1/2020 10:35,---240-5-0.01
1/1/2020 10:40,---230-7-0.01
1/1/2020 10:45,---220-7-0.01
1/1/2020 10:50,---240-8-0.01
1/1/2020 10:55,---230-7-0.01
1/1/2020 10:56,53.1-48-82.76-230-7-0.01
1/1/2020 11:00,---240-5-
1/1/2020 11:10,---270-5-
1/1/2020 11:25,---290-7-0.01
1/1/2020 11:29,51.1-46-82.62-310-14-0.03
1/1/2020 11:35,---300-13-0.04
1/1/2020 11:40,---290-11-0.05
1/1/2020 11:45,---280-8-0.05
1/1/2020 11:50,---250-5-0.05
1/1/2020 11:55,---260-2-0.05
1/1/2020 11:56,50-46-86.06--4-0.05
1/1/2020 12:00,---250-8-
1/1/2020 12:10,---280-8-
1/1/2020 12:15,---280-5-
